year	week	merge	split	transition
2011	28	0.134921152	0.713801642	0.151277206
2011	29	0.147430357	0.718270062	0.134299581
2011	30	0.133095749	0.739226881	0.12767737
2011	31	0.145270772	0.711498516	0.143230712
2011	32	0.156381615	0.70010987	0.143508515
2011	33	0.15906074	0.690955405	0.149983855
2011	34	0.151510815	0.692828229	0.155660956
2011	35	0.139879363	0.713141501	0.146979136
2011	36	0.155374532	0.700808402	0.143817065
2011	37	0.145048071	0.719216958	0.13573497
2011	38	0.148089586	0.712658118	0.139252296
2011	39	0.145485494	0.713209342	0.141305164
2011	40	0.137325251	0.73415811	0.12851664
2011	41	0.146056525	0.720232629	0.133710846
2011	42	0.134014439	0.736956818	0.129028743
2011	43	0.151738151	0.706134329	0.142127519
2011	44	0.127916292	0.738438008	0.133645699
2011	45	0.140762902	0.717900773	0.141336325
2011	46	0.14938554	0.712720115	0.137894345
2011	47	0.137194872	0.716261652	0.146543476
2011	48	0.146967395	0.718335865	0.13469674
2011	49	0.145037447	0.720036856	0.134925698
2011	50	0.144285834	0.707154231	0.148559935
2011	51	0.150201049	0.710159312	0.13963964
2011	52	0.142665794	0.707971218	0.149362988
2012	1	0.164955279	0.683372068	0.151672653
2012	2	0.158509738	0.698645216	0.142845047
2012	3	0.160477249	0.700354415	0.139168336
2012	4	0.158904287	0.69650208	0.144593633
2012	5	0.165000627	0.69097411	0.144025262
2012	6	0.15263127	0.626318571	0.22105016
2012	7	0.144246588	0.603615656	0.252137756
2012	8	0.16288765	0.692772366	0.144339984
2012	9	0.167457408	0.690209187	0.142333405
2012	10	0.173533945	0.682977891	0.143488163
2012	11	0.16653453	0.700486404	0.132979065
2012	12	0.165403847	0.696071795	0.138524357
2012	13	0.17182495	0.688814821	0.139360229
2012	14	0.173549884	0.683125923	0.143324193
2012	15	0.167843413	0.698118439	0.134038149
2012	16	0.187600762	0.660138502	0.152260736
2012	17	0.168402587	0.685432884	0.146164529
2012	18	0.15094203	0.59032262	0.258735351
2012	19	0.141287388	0.543554759	0.315157853
2012	20	0.149011597	0.553162157	0.297826246
2012	21	0.16754642	0.599050611	0.233402969
2012	22	0.166353322	0.578520211	0.255126467
2012	23	0.171316658	0.609234699	0.219448643
2012	24	0.174258638	0.619710313	0.206031048
2012	25	0.174331908	0.628097332	0.19757076
2012	26	0.147566649	0.708747405	0.143685946
2012	27	0.152199036	0.706202315	0.14159865
2012	28	0.158370946	0.702561142	0.139067912
2012	29	0.16209098	0.668873391	0.169035629
2012	30	0.151020067	0.699506337	0.149473596
2012	31	0.139434428	0.722635141	0.137930431
2012	32	0.137447387	0.724087192	0.138465421
2012	33	0.150368413	0.706715699	0.142915889
2012	34	0.125818648	0.736875813	0.137305539
2012	35	0.138628045	0.68133265	0.180039305
2012	36	0.14433878	0.700326049	0.155335171
2012	37	0.154294039	0.669670594	0.176035367
2012	38	0.149377265	0.690026848	0.160595887
2012	39	0.139956112	0.718961643	0.141082244
2012	40	0.150778372	0.674412239	0.17480939
2012	41	0.160448569	0.673984994	0.165566438
2012	42	0.161812925	0.666528353	0.171658721
2012	43	0.159397215	0.653845949	0.186756836
2012	44	0.15194801	0.660212784	0.187839206
2012	45	0.148871029	0.650898381	0.20023059
2012	46	0.150978434	0.6506242	0.198397367
2012	47	0.146986186	0.613258804	0.239755009
2012	48	0.1475056	0.625237989	0.22725641
2012	49	0.150178847	0.618302006	0.231519147
