"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"92",1953,1980,2327,2949,4273,6419,8541,11224,14033,17024,20166,23300,26544,29727,33087,36768,40550,43623,46749,49937,52692,55119,57423,59936,62389,64165,65487,66967,68143,68958,70026,70866,71670,72496,73182,73821,74395,74913,75448,75808,76105,76480,76775,76977,77149,77313,77653,77846,77908,78049,78106,78160,78267,78320,78438,78489,78542,78649,78757,78790,78830,78852,78872,78887,78956,78967,78969,79036,79039,79045,79050,79058,79064,79071,79077,79090,79095,79104,79116,79133,79151,79167,79187,79201,79227,79253,79272,79291,79303,79321,79328,79332,79336,79337,79401,79401,79401,79401,79401,79401,79401
"93",1653,1821,2186,2669,3783,5467,7560,9554,12002,14762,17447,20511,23572,26742,29753,32978,36406,39537,42598,45380,48525,51608,54298,57030,59338,61533,63540,65368,67002,68260,69317,70278,71404,72393,72894,73370,73966,74822,75197,75664,75942,76378,76629,76807,77008,77265,77418,77806,78075,78148,78278,78404,78474,78591,78629,78676,78724,78806,78845,78888,78919,78947,78980,79066,79140,79166,79190,79212,79230,79244,79320,79330,79334,79337,79340,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"94",2016,2105,2348,3255,4524,6162,7924,10408,12697,15047,18106,20720,23765,26659,29742,32712,35519,38797,41710,44920,47915,50875,53558,56280,59075,60910,62686,64239,65699,66861,68165,69370,70586,71707,72507,73225,74212,74963,75480,75929,76200,76595,77105,77324,77574,78058,78328,78651,78776,78808,79042,79074,79110,79132,79222,79240,79250,79322,79331,79336,79336,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"95",903,1027,1433,2424,4240,6442,9034,12256,15471,18890,22245,25616,29229,32810,36431,40074,43415,47213,50858,53996,56866,59582,62059,64684,66667,68311,69759,70972,71960,72832,73509,74218,74758,75289,75709,76252,76695,76975,77220,77538,77751,77899,78062,78169,78283,78329,78438,78546,78601,78675,78733,78782,78839,78889,78980,79027,79115,79155,79185,79215,79236,79255,79272,79285,79336,79342,79349,79355,79356,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"96",1081,1195,1476,2342,3765,5839,8103,10786,13848,17091,20523,23782,27315,30769,34645,37896,41293,44958,48289,51596,54859,57755,60466,62917,65139,66979,68629,69930,71046,71947,72688,73492,74484,75249,75745,76080,76375,76812,77108,77348,77586,77697,77900,78088,78284,78357,78560,78720,78768,78827,78889,78989,79035,79072,79103,79145,79166,79191,79205,79270,79278,79333,79339,79344,79350,79352,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"97",1176,1262,1732,2285,3533,5347,7773,10603,13718,17023,20368,23833,27429,31155,34979,38406,42030,46176,49674,52639,55478,58729,61413,63824,65893,67647,69345,70587,71823,72801,73536,74189,74601,75280,75942,76356,76602,76890,77032,77380,77509,77681,77745,77879,77946,78057,78112,78203,78278,78345,78405,78483,78545,78653,78754,78795,78835,78869,78905,78986,79012,79035,79055,79087,79160,79236,79256,79279,79292,79309,79319,79332,79339,79342,79347,79351,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"98",1653,1864,2561,3903,5963,8375,11208,14354,17990,21871,25471,29047,32506,35894,39524,42740,46036,49454,52090,55854,58523,60838,62835,64504,66154,67496,68890,69808,70619,71419,72017,72611,73138,73563,73990,74454,74995,75441,75684,75965,76235,76647,76986,77116,77330,77474,77638,77838,78048,78231,78361,78512,78592,78703,78738,78822,78898,78968,78976,79041,79044,79049,79055,79057,79065,79066,79069,79078,79087,79104,79119,79139,79166,79186,79220,79240,79271,79297,79313,79325,79335,79340,79342,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"99",780,1031,1700,3236,5482,8215,11042,14328,17675,21295,24850,28544,32322,36130,39781,43295,46927,50232,53688,56682,59321,61920,64169,66257,67944,69629,70915,72071,73098,73897,74693,75279,75910,76336,76738,77035,77351,77597,77781,77971,78065,78205,78331,78437,78538,78597,78679,78764,78806,78855,78894,78962,78987,78995,79003,79054,79063,79070,79082,79102,79125,79146,79162,79181,79206,79230,79261,79289,79316,79333,79351,79356,79360,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"100",561,624,976,1824,3437,5661,8503,11531,14585,18076,21640,25058,28580,32321,35898,39480,43215,46897,50083,53160,56137,58711,61157,63479,65382,67237,68922,70171,71424,72533,73624,74319,75133,75721,76248,76818,77117,77430,77759,78081,78286,78403,78562,78758,78873,78998,79056,79123,79190,79247,79268,79282,79360,79364,79366,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"101",435,535,966,2011,3685,5953,8742,11767,15057,18601,22134,25665,29377,33191,36733,40474,44333,47862,51173,54272,57063,59764,62256,64438,66539,68132,69787,71075,72277,73363,74236,75044,75677,76298,76737,77137,77446,77759,77998,78167,78331,78543,78717,78802,78932,78980,79060,79122,79154,79216,79247,79260,79330,79336,79344,79354,79365,79369,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"102",496,628,992,2016,3708,5950,8834,11815,15187,18986,22759,26525,30458,34358,38143,41922,45420,48870,52234,55360,58338,61155,63442,65370,67256,68854,70283,71399,72380,73313,73957,74694,75337,75723,76129,76592,76920,77290,77564,77839,78016,78194,78350,78478,78654,78803,78875,78933,79016,79124,79151,79244,79272,79299,79315,79330,79346,79356,79362,79365,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"103",1485,1652,2087,2836,4138,6021,8083,10279,12737,15770,18555,21576,24680,27909,31500,34616,37596,40950,44184,47614,50480,53304,55788,58117,60610,62827,64356,65923,67433,68506,69588,70531,71553,72385,73076,73792,74390,74864,75426,75846,76249,76663,76878,77181,77547,77724,77854,78026,78176,78271,78401,78518,78619,78726,78922,79053,79060,79130,79150,79161,79179,79195,79210,79227,79249,79270,79286,79303,79312,79322,79329,79336,79342,79344,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"104",2485,2690,3209,4545,6224,8610,10751,13763,16526,19499,22598,25761,29307,32570,35622,39262,42820,45696,48835,51655,55045,57944,60200,62282,64028,65842,67230,68565,69678,70652,71536,72410,73069,73694,74357,74842,75215,75658,76067,76400,76844,77109,77529,77825,78032,78265,78505,78572,78710,78761,78951,78984,79154,79177,79201,79214,79298,79308,79315,79325,79327,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"105",1035,1240,2152,3898,6410,9160,12840,16764,20417,24301,28156,31898,35587,39514,43303,46564,49901,53217,56150,59024,61808,63906,65779,67553,69236,70571,71792,72859,73744,74548,75191,75783,76116,76371,76625,77022,77147,77349,77458,77570,77692,77795,77941,78079,78145,78194,78292,78380,78418,78502,78538,78559,78584,78603,78613,78669,78678,78687,78705,78724,78746,78765,78787,78817,78858,78887,78930,78960,78986,79015,79035,79058,79120,79138,79157,79182,79213,79238,79271,79302,79319,79339,79349,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"106",1176,1496,2332,3635,5510,7797,10480,13460,16718,20233,23779,27236,31124,34827,38237,41525,44707,47703,50607,53345,56180,58661,60638,62700,64390,65746,66811,67867,68932,69873,71002,71793,72524,73209,73958,74618,75369,75782,76151,76463,76747,77303,77674,77863,78009,78140,78225,78386,78542,78595,78638,78680,78725,78811,78853,78881,78913,78940,78967,79054,79077,79101,79136,79217,79242,79262,79291,79312,79327,79337,79344,79351,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"107",1953,2048,2570,3284,4629,6476,8661,11077,13815,16712,19582,22849,26372,29886,32836,36112,39636,43262,46498,49368,52236,54681,57491,59619,62084,64184,65819,67363,68579,69658,70831,71753,72581,73174,73741,74210,74885,75298,75754,76125,76737,76935,77109,77208,77389,77542,77636,77793,77876,78016,78148,78287,78351,78420,78493,78623,78676,78740,78862,78917,78956,78998,79098,79190,79210,79229,79239,79249,79256,79327,79330,79335,79336,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"108",990,1083,1513,2272,3642,5651,7891,10316,13259,16292,19492,22937,26352,30024,33262,36797,40405,44290,48022,51095,54063,57082,59757,62217,64532,66279,67852,69358,70646,71655,72740,73605,74100,74662,75226,75790,76196,76703,77190,77441,77753,77943,78061,78228,78355,78413,78555,78690,78724,78749,78769,78837,78900,78909,78915,78964,79011,79012,79013,79016,79020,79021,79023,79025,79027,79034,79040,79043,79047,79055,79064,79079,79098,79108,79119,79130,79136,79151,79171,79192,79211,79231,79261,79286,79305,79318,79327,79342,79348,79350,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"109",780,830,1187,2079,3544,5775,8163,10977,13954,17211,20547,23985,27712,31418,35011,38513,42108,45532,48956,52005,55094,57582,59890,62218,64043,65702,67263,68405,69768,70782,71750,72493,73139,73969,74509,75133,75574,75897,76346,76794,76995,77189,77336,77570,77881,77998,78162,78289,78436,78558,78633,78754,78879,78932,78985,79059,79168,79192,79247,79269,79290,79308,79315,79359,79360,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"110",903,1098,1636,2764,4254,6224,8315,10370,12903,15692,18854,21906,25134,28632,32182,35765,39439,43089,46747,49801,52527,55266,57724,60019,62097,64192,65883,67510,68968,70145,71198,72081,72899,73610,74285,74742,75228,75795,76146,76372,76772,77064,77321,77478,77618,77856,77975,78133,78240,78331,78476,78555,78690,78762,78841,78908,78961,79084,79149,79211,79234,79248,79267,79287,79302,79353,79356,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"111",1035,1167,1826,2736,4353,6440,8705,11365,14193,17019,20020,23319,26417,29728,33150,36795,40054,43635,46887,50032,52931,55569,58187,60503,62773,64539,66108,67512,68870,69815,70786,71786,72574,73205,73848,74570,75231,75688,76035,76456,76837,77127,77417,77573,77832,77985,78156,78335,78455,78526,78601,78657,78714,78775,78876,78934,78983,79036,79096,79136,79177,79246,79304,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"112",1653,1827,2721,4245,5956,8235,11145,14231,17156,20595,24309,28273,31814,35704,39651,43561,47021,50600,53661,56462,59456,61463,63407,65452,67048,68324,69506,70454,71480,72322,73070,73694,74164,74601,74990,75188,75423,75767,75977,76262,76436,76607,76790,76971,77144,77365,77539,77727,77961,78071,78165,78317,78453,78536,78617,78668,78793,78850,78950,79093,79118,79193,79214,79234,79263,79283,79306,79320,79334,79342,79342,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"113",2556,2680,3238,4248,5957,8013,10559,13566,16382,19419,22412,25674,29053,32728,36245,39336,43079,46501,49919,53168,56152,58672,60830,63364,64846,66248,67729,68705,69697,70735,71379,72053,72846,73488,73888,74687,75097,75340,75662,75901,76178,76528,76693,76972,77078,77185,77365,77448,77520,77576,77697,77756,77802,77851,77893,77999,78027,78202,78298,78389,78410,78440,78478,78516,78550,78596,78640,78684,78717,78761,78809,78864,78906,78955,79085,79111,79143,79170,79202,79229,79244,79252,79328,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"114",1770,1881,2354,2927,4116,5784,7478,9697,12146,14583,17501,20606,23468,26719,29849,33062,36635,40499,43909,46962,49981,52521,55092,57516,59686,61271,63112,64816,65999,67169,68422,69641,70709,71544,72271,72831,73238,73998,74310,74538,74897,75235,75584,75814,76027,76344,76517,76757,76853,77075,77280,77433,77536,77646,77747,77838,77981,78032,78158,78269,78303,78415,78520,78562,78598,78635,78655,78688,78767,78794,78823,78903,78926,78950,78975,78993,79013,79030,79044,79060,79133,79147,79156,79169,79178,79194,79206,79227,79252,79267,79281,79303,79314,79316,79329,79333,79337,79340,79401,79401,79401
"115",946,1065,1332,1942,3300,5130,7392,10204,13358,16667,20066,23768,27510,31563,35381,38995,42576,45836,49189,52432,55617,58475,60927,63154,65131,66774,68438,70016,71219,72311,73218,74321,75005,75754,76159,76572,77111,77463,77771,78024,78404,78537,78657,78726,78821,78914,78948,79020,79152,79180,79205,79229,79250,79268,79283,79294,79350,79352,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"116",1596,1631,1960,2658,3863,5486,7571,9788,12244,15037,17928,21116,24535,27699,31060,34425,37886,41179,44898,48343,51233,54118,56955,59292,61394,63425,65410,66818,68009,69415,70228,71338,72037,72970,73563,74201,75060,75481,75853,76139,76498,77037,77358,77686,77875,78165,78314,78445,78552,78716,78813,78968,79003,79037,79064,79193,79259,79272,79286,79300,79309,79312,79317,79325,79331,79337,79342,79343,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"117",946,978,1258,1916,3141,4767,6854,9439,12233,15274,18234,21505,25131,28734,32405,35967,39798,43203,46650,49907,52811,55463,58132,60306,62476,64454,66342,67915,69212,70513,71808,72568,73318,73895,74571,75010,75529,76219,76476,76874,77235,77481,77694,77855,78001,78198,78359,78450,78659,78715,78761,78810,78840,78862,78924,78943,79009,79063,79111,79121,79133,79145,79161,79174,79189,79205,79229,79250,79277,79300,79308,79320,79332,79341,79344,79348,79351,79355,79356,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"118",1035,1197,1459,2130,3024,4339,6153,8171,10487,12857,15670,18655,21735,24848,28257,31510,35016,38317,41627,44852,48094,51242,54079,56564,58900,61123,63592,65232,66750,68202,69509,70898,71892,72585,73221,73834,74280,74795,75217,75538,75935,76305,76537,76748,76902,77293,77422,77598,77739,77988,78128,78220,78344,78419,78497,78619,78681,78830,78882,78936,78980,79025,79060,79134,79213,79232,79253,79275,79287,79340,79345,79352,79354,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"119",1326,1589,1921,2917,4250,5980,8164,10711,13386,16387,19598,22999,26570,30435,34259,37598,41291,44597,47874,50998,54103,56655,59128,61330,63129,64994,66417,67619,68919,69889,70727,71313,71839,72392,72925,73528,74049,74501,74918,75124,75469,75761,76006,76188,76338,76572,76828,76978,77139,77295,77414,77574,77714,77818,77977,78110,78314,78405,78514,78605,78688,78787,78888,78949,79048,79102,79127,79258,79280,79288,79294,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"120",990,1236,1914,2886,4511,6655,9115,11791,14643,17737,20818,24191,27496,31026,34487,37825,41562,45470,48718,52168,54958,57707,60312,62728,64537,66141,67883,69268,70416,71680,72669,73484,74142,74552,74945,75289,75609,75910,76194,76474,76617,76881,77036,77281,77383,77523,77660,77753,77855,77949,78041,78131,78222,78352,78434,78514,78619,78683,78746,78891,78936,78983,79077,79124,79161,79202,79236,79261,79282,79297,79350,79355,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"121",1128,1238,1670,2342,3464,5146,7546,10078,12767,15683,18815,22340,25424,28838,32348,35695,39315,42645,45750,49070,51956,54522,57304,59870,62145,64008,65812,67227,68222,69338,70438,71676,72500,73124,73746,74328,74707,75418,75802,76215,76501,76842,77022,77161,77399,77503,77744,77824,77972,78084,78206,78264,78342,78416,78535,78657,78723,78781,78850,78912,78969,79015,79058,79098,79125,79252,79273,79284,79340,79344,79349,79351,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"122",561,589,792,1289,2234,4005,6209,8749,11862,15033,18598,21999,25643,29451,33292,37374,41112,44422,47851,51306,54417,57398,60319,62623,64593,66475,67996,69400,70562,71453,72212,73008,73828,74429,75006,75361,75737,76181,76620,76864,77057,77270,77475,77634,77772,77876,77996,78075,78145,78276,78374,78496,78546,78593,78666,78709,78735,78768,78800,78831,78853,78917,78935,78986,78996,79008,79021,79032,79041,79089,79108,79118,79136,79150,79169,79181,79199,79217,79233,79256,79269,79289,79304,79320,79332,79342,79351,79358,79361,79365,79366,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"123",741,767,963,1448,2474,4082,6260,8505,11264,14328,17478,20891,24421,27843,31399,35132,38720,42234,45585,48708,51802,54859,57270,59727,61860,63774,65486,67320,68801,69981,71248,72062,72822,73652,74466,74960,75504,75885,76270,76798,77077,77464,77632,77877,78129,78354,78486,78596,78671,78785,78852,78897,78950,78988,79060,79171,79194,79258,79278,79288,79296,79305,79315,79317,79319,79361,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"124",861,948,1090,1416,2234,3562,5223,7259,9879,12638,15617,18880,22096,25245,28637,32238,35586,38993,42516,45451,48319,51191,54112,56729,58906,60922,62899,64572,65989,67370,68485,70101,70983,71942,72640,73302,73840,74436,74930,75293,75704,76234,76645,77067,77331,77690,77876,78172,78351,78486,78601,78663,78880,78922,79035,79150,79248,79253,79261,79267,79356,79356,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"125",820,956,1095,1681,2586,3849,5503,7507,9704,12148,14956,17737,20848,24014,27435,30654,33737,37065,40542,43836,46683,49499,52483,54864,57152,59264,61283,63084,64627,65991,67181,68351,69535,70458,71061,71841,72607,73140,73888,74380,75067,75396,75763,76144,76477,76828,77057,77192,77450,77605,77771,77966,78109,78205,78360,78519,78599,78677,78758,78837,78897,78975,79057,79101,79136,79209,79225,79281,79340,79343,79347,79354,79356,79359,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"126",990,1126,1337,2064,3291,5179,7261,9590,12248,15186,18186,21526,24838,28218,31715,35040,38700,42535,46001,49320,52366,54959,57472,59653,61596,63612,65498,67125,68640,69634,70824,71919,72603,73318,74240,74751,75096,75613,75909,76446,76674,76973,77210,77457,77737,77962,78037,78161,78219,78364,78505,78539,78569,78652,78735,78768,78803,78840,78877,78919,78966,79012,79057,79143,79184,79219,79248,79270,79281,79296,79349,79352,79353,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"127",595,621,804,1536,2913,4609,6689,9372,12287,15347,18627,21933,25532,29159,32875,36402,40180,43875,47197,50579,53354,55931,58675,60882,62733,64602,65904,67347,68478,69561,70544,71445,72350,73100,73802,74456,75055,75578,76039,76448,76821,77207,77472,77784,77985,78219,78325,78631,78722,78902,78959,79064,79174,79216,79245,79258,79308,79319,79325,79329,79365,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"128",595,667,743,1044,1830,3166,4942,7124,9455,12316,15086,18266,21531,24884,28548,32078,35477,38866,42235,45410,48402,51309,54091,56693,59052,61098,63119,65043,66551,68088,69270,70512,71547,72490,73400,74289,74805,75436,75844,76249,76556,76952,77178,77515,77762,77911,78147,78329,78406,78578,78653,78707,78778,78839,78962,79020,79063,79096,79168,79226,79243,79254,79262,79307,79313,79317,79321,79324,79362,79364,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"129",630,671,789,1191,1991,3245,5039,7232,9722,12455,15462,18649,22007,25319,28859,32260,35755,39476,42616,45795,48918,52072,54706,57142,59569,61524,63494,65276,66724,68113,69189,70222,71064,71897,72957,73571,74256,74764,75162,75619,75861,76231,76712,76873,77137,77347,77537,77761,77933,78020,78131,78268,78316,78400,78480,78542,78580,78597,78692,78747,78770,78793,78814,78838,78858,78892,78950,78981,79000,79021,79050,79064,79073,79089,79107,79120,79169,79181,79198,79211,79227,79245,79271,79292,79312,79327,79338,79350,79356,79358,79360,79361,79363,79364,79401,79401,79401,79401,79401,79401,79401
"130",231,248,362,749,1548,2899,4714,6935,9530,12326,15154,18272,21454,24813,28259,31593,34867,38026,41495,44806,47839,50557,53141,55529,57949,60265,62202,63956,65473,66934,68311,69409,70536,71449,72298,73053,73608,74124,74745,75182,75608,75969,76295,76569,76858,77089,77298,77505,77689,77887,78021,78154,78273,78352,78445,78569,78677,78748,78781,78844,78870,78886,78921,78978,78983,78985,78987,78987,79011,79014,79016,79017,79017,79020,79022,79028,79029,79033,79038,79044,79047,79051,79056,79061,79069,79076,79082,79086,79091,79099,79115,79129,79136,79144,79150,79164,79176,79190,79202,79221,79239
"131",496,625,813,1340,2326,3893,5744,7912,10499,13315,16251,19519,22792,26177,29434,32606,35808,39353,42535,45688,48519,51378,53898,56150,58369,60411,62066,63611,65204,66488,67823,69023,70147,71206,72133,73009,73819,74387,74909,75449,75915,76249,76696,77106,77434,77749,77968,78248,78508,78659,78775,78883,78964,79040,79141,79222,79268,79277,79321,79329,79365,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"132",465,491,680,1205,2155,3407,5205,7292,9641,12367,15168,18567,21720,25064,28387,31844,35322,38564,41892,45326,48324,51198,53904,56465,58653,60706,62673,64117,65551,66820,68069,68951,69922,70856,71668,72374,73075,73521,74051,74534,75039,75332,75722,76041,76426,76665,76900,77119,77333,77579,77730,77848,77992,78140,78287,78395,78498,78560,78652,78768,78811,78882,78923,78967,79033,79058,79092,79119,79146,79197,79218,79238,79289,79312,79326,79334,79350,79357,79363,79367,79369,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"133",1128,1269,1675,2680,4282,6334,9036,12273,15758,19247,23117,26753,30524,34364,38447,42242,46240,49873,53145,56112,59137,61746,64086,66295,68038,69354,70696,71688,72798,73817,74490,75052,75769,76344,76675,77103,77310,77556,77777,78026,78121,78334,78446,78522,78646,78753,78819,78879,78922,78951,78985,79013,79080,79202,79237,79257,79285,79309,79326,79336,79342,79349,79351,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"134",1431,1525,1866,2590,4042,6234,8930,11890,15222,18627,22347,26381,30365,34410,38106,41909,46115,50144,53886,56910,60162,62594,64746,66670,68547,69902,71203,72403,73454,74023,74538,75354,75815,76148,76437,76931,77151,77458,77829,77976,78209,78317,78437,78545,78669,78826,78900,78960,79003,79139,79210,79326,79333,79339,79342,79344,79346,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"135",435,473,561,1082,2135,3546,5650,8114,10747,13755,16827,20070,23168,26470,29764,33197,36603,39878,42966,46004,49070,51892,54317,56878,59075,61158,62811,64399,65846,67172,68339,69520,70545,71261,71955,72558,73191,73830,74248,74672,75199,75541,75807,76029,76225,76421,76613,76921,77062,77185,77322,77476,77638,77792,77946,78076,78196,78287,78395,78469,78546,78667,78722,78775,78831,78892,78928,78997,79028,79065,79129,79159,79184,79203,79236,79260,79280,79327,79336,79351,79355,79365,79368,79369,79370,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
